                    The descriptions of config file entries
                    =======================================

NB: set tab stops to 40 and text width to 180 for better viewing

entry name in the program	entry name in config file	default value	meaning
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

MP_ADBFILE	AddressBook
MP_ADB_SUBSTRINGEXPANSION	ExpandWithSubstring	1l
MP_ADD_DEFAULT_HOSTNAME	AddDefaultHostName	1L
MP_AFMPATH	AfmPath	M_BASEDIR "/afm:/usr/share:/usr/lib:/usr/local/share:/usr/local/lib:/opt/ghostscript:/opt/enscript"
MP_ALWAYS_USE_EXTERNALEDITOR	AlwaysUseExtEditor	0l
MP_AUTOCOLLECT	AutoCollect	2l
MP_AUTOCOLLECT_ADB	AutoCollectAdb	"autocollect.adb
MP_AUTOCOLLECT_NAMED	AutoCollectNamed	0l
MP_AUTOMATIC_WORDWRAP	AutoWrap	1l
MP_AUTOSAVEDELAY	AutoSaveDelay	60
MP_AUTOSHOW_FIRSTMESSAGE	AutoShowFirstMessage	0l
MP_BBDB_ANONYMOUS	BbdbAnonymousName	"anonymous"
MP_BBDB_GENERATEUNIQUENAMES	BbdbGenerateUniqueNames	0L
MP_BBDB_IGNOREANONYMOUS	BbdbIgnoreAnonymous	0L
MP_BBDB_SAVEONEXIT	BbdbSaveOnExit	M_ACTION_PROMPT
MP_BEACONHOST	BeaconHost	""
MP_BROWSER	Browser	"firefox" (Unix) or "" (elsewhere)
MP_BROWSER_OTHER	BrowserOther	"google-chrome" (Unix) or "" (elsewhere)
MP_CHARSET	CharSet	"ISO-8859-1"
MP_CONFIRM_SEND	ConfigSend	0l
MP_COMPOSETEMPLATEPATH_GLOBAL	CompooseTemplatePath"
MP_COMPOSETEMPLATEPATH_USER	CompooseTemplatePathUser"
MP_COMPOSE_BCC	ComposeBccDefault	M_EMPTYSTRING
MP_COMPOSE_CC	ComposeCcDefault	M_EMPTYSTRING
MP_COMPOSE_SIGNATURE	SignatureFile	"$HOME/.signature"
MP_COMPOSE_TO	ComposeToDefault	M_EMPTYSTRING
MP_COMPOSE_USE_SIGNATURE	ComposeInsertSignature	1
MP_COMPOSE_USE_SIGNATURE_SEPARATOR	ComposeSeparateSignature	1
MP_COMPOSE_USE_XFACE	UseXFaces	1
MP_COMPOSE_XFACE_FILE	XFace	"$HOME/.xface"
MP_CONFIRMEXIT	ConfirmExit	1l
MP_CONVERTPROGRAM	ImageConverter	"convert %s -compress None %s"
MP_CREATE_PROFILES	CreateProfileFiles	0l
MP_CRYPTALGO	CryptAlgo	0L
MP_CRYPT_TESTDATA	CryptData	""
MP_CURRENT_IDENTITY	Identity	M_EMPTYSTRING
MP_CVIEW_BGCOLOUR	CViewBGColout	"white"
MP_CVIEW_FGCOLOUR	CViewFGColour	"black"
MP_CVIEW_FONT	CViewFont	0L
MP_CVIEW_FONT_SIZE	CViewFontSize	12L
MP_DATE_FMT	DateFormat	"%c"
MP_DATE_GMT	GMTDate	0l
MP_DEBUG_CCLIENT	MailDebug	0l
MP_DEFAULT_LOAD_EXTENSION	LoadExtension	M_EMPTYSTRING
MP_DEFAULT_LOAD_FILENAME	LoadFileName	"*"
MP_DEFAULT_LOAD_PATH	LoadPath	M_EMPTYSTRING
MP_DEFAULT_LOAD_WILDCARD	LoadWildcard	"*" or "*.*"
MP_DEFAULT_SAVE_EXTENSION	SaveExtension	M_EMPTYSTRING
MP_DEFAULT_SAVE_FILENAME	SaveFileName	"*"
MP_DEFAULT_SAVE_PATH	SavePath	M_EMPTYSTRING
MP_DEFAULT_SAVE_WILDCARD	SaveWildcard	"*" or "*.*"
MP_DIALUP_SUPPORT	DialUpNetSupport	0L
MP_DOCKABLE_MENUBARS	MenuBarsDockable	1l
MP_DOCKABLE_TOOLBARS	ToolBarsDockable	1l
MP_ETCPATH	ConfigPath	"/etc:/usr/etc:/usr/local/etc:/opt/etc:/usr/share/etc:/usr/local/share/etc"
MP_EXPAND_TREECTRL	ExpandTreeControl	1
MP_EXTERNALEDITOR	ExternalEditor	"gvim %s" or "notepad %s"
MP_FILTER_RULE	Filter	""
MP_FIRSTRUN	FirstRun	1
MP_FLAT_TOOLBARS	ToolBarsFlat	1l
MP_FLC_DATECOL	ColumnDate	3
MP_FLC_DATEWIDTH	ColumnWidthDate	27
MP_FLC_FROMCOL	ColumnFrom	2
